N do Patrimonio,Descricao do Bem,Quantidade,Localizacao,N Nota Fiscal,Data de Aquisicao,Data  de  Saida,Fornecedor,Valor R$,Grau de Depreciacao
0001,Escrivaninha em L,1,Sala Panoramica,2196,5/8/2012,,Mobko Ind e Com de Moveis,R$ 1470.00,A - otimo
0002,Gaveteiro com duas gavetas e um fichario,1,Sala Panoramica,2196,5/8/2012,,Mobko Ind e Com de Moveis,R$ 379.00,A - otimo
0003,Cadeira para escrivaninha,1,Sala Panoramica,2196,5/8/2012,,Mobko Ind e Com de Moveis,R$ 237.00,A - otimo
0004,Armario com duas portas cinco prateleiras,1,Sala Panoramica,2196,5/8/2012,,Mobko Ind e Com de Moveis,R$ 1190.00,A - otimo
0005,Balcao com quatro portas uma gaveta e lugar p/frigobar,1,Sala Panoramica,2196,5/8/2012,,Mobko Ind e Com de Moveis,R$ 0.00,A - otimo
0006,Frigobar Consul Modelo CRC12ABBNA30,1,Sala Panoramica,,5/8/2012,,,R$ 668.71,A - otimo
0007,Mesa para reuniao Eliptica,1,Sala Panoramica,2196,5/8/2012,,Mobko Ind e Com de Moveis,R$ 2900.00,A - otimo
0008,Cadeira para mesa de reuniao,1,Sala Panoramica,2196,5/8/2012,,Mobko Ind e Com de Moveis,R$ 199.00,A - otimo
0009,Cadeira para mesa de reuniao,1,Sala Panoramica,2196,5/8/2012,,Mobko Ind e Com de Moveis,R$ 199.00,A - otimo
0010,Cadeira para mesa de reuniao,1,Sala Panoramica,2196,5/8/2012,,Mobko Ind e Com de Moveis,R$ 199.00,A - otimo
0011,Cadeira para mesa de reuniao,1,Sala Panoramica,2196,5/8/2012,,Mobko Ind e Com de Moveis,R$ 199.00,A - otimo
0012,Cadeira para mesa de reuniao,1,Sala Panoramica,2196,5/8/2012,,Mobko Ind e Com de Moveis,R$ 199.00,A - otimo
0013,Cadeira para mesa de reuniao,1,Sala Panoramica,2196,5/8/2012,,Mobko Ind e Com de Moveis,R$ 199.00,A - otimo
0014,Cadeira para mesa de reuniao,1,Sala Panoramica,2196,5/8/2012,,Mobko Ind e Com de Moveis,R$ 199.00,A - otimo
0015,Cadeira para mesa de reuniao,1,Sala Panoramica,2196,5/8/2012,,Mobko Ind e Com de Moveis,R$ 199.00,A - otimo
0016,Cadeira para mesa de reuniao,1,Sala Panoramica,2196,5/8/2012,,Mobko Ind e Com de Moveis,R$ 199.00,A - otimo
